序號,設施名稱,is_indoor,分類原因
501,屏東縣立鶴聲國中,True,包含強制室內關鍵字: 國中
502,屏東市復興國小,True,包含強制室內關鍵字: 國小
503,鳥松區公所三樓,True,包含強制室內關鍵字: 公所
504,屏東市民生國小,True,包含強制室內關鍵字: 國小
505,高雄市立明華國民中學,True,預設室內
506,華源活動中心,True,包含強制室內關鍵字: 活動中心
507,屏東市公所,True,包含強制室內關鍵字: 公所
508,高雄市鳥松區鳥松國民小學（備用）,True,預設室內
509,高雄市立三民高級中學,True,預設室內
511,屏東大學民生校區體育館,True,包含強制室內關鍵字: 大學
512,屏東市建國國小,True,包含強制室內關鍵字: 國小
513,屏東市鶴聲國小,True,包含強制室內關鍵字: 國小
514,高雄市立三民高級家事商業職業學校,True,包含強制室內關鍵字: 學校
515,高雄市立鳥松國民中學,True,預設室內
516,"鼎中,鼎力,鼎膝,鼎金,鼎強,鼎盛聯合里",True,預設室內
517,屏東市大同國小,True,包含強制室內關鍵字: 國小
518,崇文國小,True,包含強制室內關鍵字: 國小
519,新生國小,True,包含強制室內關鍵字: 國小
520,高雄市大樹區水寮國民小學,True,預設室內
521,三民街友服務中心,True,預設室內
523,財團法人玄光聖堂短期收容,True,預設室內
524,高雄市鼓山區中山國民小學,True,預設室內
525,高雄市左營區新莊國民小學,True,預設室內
526,太麻里鄉三和村辦公處,True,包含強制室內關鍵字: 辦公處
527,屏東市民和國小,True,包含強制室內關鍵字: 國小
528,高雄新莊天后宮備用,True,預設室內
529,屏東市唐榮國小,True,包含強制室內關鍵字: 國小
530,仁慈活動中心,True,包含強制室內關鍵字: 活動中心
531,和平營區,True,預設室內
532,高雄市左營區勝利國民小學,True,預設室內
533,高雄市三民區獅湖國民小學,True,預設室內
534,屏東縣立中正國中,True,包含強制室內關鍵字: 國中
537,高雄市立大義國民中學,True,預設室內
539,高雄市立海青高級工商職業學校,True,包含強制室內關鍵字: 學校
540,國立屏東女中,True,預設室內
541,瑪家社區活動中心,True,包含強制室內關鍵字: 活動中心
542,崇聖殿備用,True,預設室內
543,高雄市立大灣國民中學,True,預設室內
545,高雄市左營區新民國民小學,True,預設室內
546,屏東市仁愛國小,True,包含強制室內關鍵字: 國小
547,屏東市忠孝國小,True,包含強制室內關鍵字: 國小
549,長興國小,True,包含強制室內關鍵字: 國小
550,菜公豐谷宮備用,True,預設室內
552,屏東縣立大同高中,True,包含強制室內關鍵字: 高中
553,崇文國中,True,包含強制室內關鍵字: 國中
554,高雄市立左營國民中學,True,預設室內
555,高雄市仁武區登發國民小學,True,預設室內
556,高雄市左營區新光國民小學,True,預設室內
557,屏東縣立明正國中,True,包含強制室內關鍵字: 國中
558,埤子頭鎮福廟,True,預設室內
559,屏東市勝利國小,True,包含強制室內關鍵字: 國小
560,屏東市瑞光國小,True,包含強制室內關鍵字: 國小
561,高雄市立新莊高級中學,True,預設室內
562,啟明堂備用,True,預設室內
563,舊城城隍廟,True,預設室內
564,左營元帝廟,True,預設室內
565,高雄市仁武區灣內國民小學,True,預設室內
566,高雄市左營區舊城國民小學,True,預設室內
567,高雄市左營區福山國民小學,True,預設室內
568,屏東市崇蘭國小,True,包含強制室內關鍵字: 國小
569,護安寺,True,預設室內
570,左營揚善堂,True,預設室內
571,國立屏東高中,True,包含強制室內關鍵字: 高中
572,屏東市和平國小,True,包含強制室內關鍵字: 國小
573,天府宮,True,預設室內
574,黎明國小,True,包含強制室內關鍵字: 國小
575,太麻里鄉美和國民小學,True,預設室內
576,高雄市大樹區大樹國民小學,True,預設室內
577,高雄市左營區明德國民小學,True,預設室內
578,?後北極殿,True,預設室內
579,高雄市仁武區八卦國民小學,True,預設室內
580,左營區公所8樓大禮堂,True,包含強制室內關鍵字: 禮堂
581,涼山社區活動中心,True,包含強制室內關鍵字: 活動中心
582,高雄市左營區左營國民小學,True,預設室內
583,高楠活動中心,True,包含強制室內關鍵字: 活動中心
584,屏東縣立至正國中,True,包含強制室內關鍵字: 國中
585,知本金聯世紀酒店,True,預設室內
586,大樹區公所二樓會議室,True,包含強制室內關鍵字: 公所
587,長治國中,True,包含強制室內關鍵字: 國中
588,高雄市立左營高級中學,True,預設室內
589,德協國小,True,包含強制室內關鍵字: 國小
590,大社村辦公處含活動中心,True,包含強制室內關鍵字: 活動中心
591,高雄東照山關帝廟備用,True,預設室內
592,循理會南三和教會,True,預設室內
593,復興永清里活動中心,True,包含強制室內關鍵字: 活動中心
594,祥和山莊活動中心,True,包含強制室內關鍵字: 活動中心
595,原大樹鄉民代表會,True,預設室內
596,臺東縣農會東遊季溫泉渡假村,True,預設室內
597,溫泉國民小學,True,預設室內
598,溫泉村活動中心,True,包含強制室內關鍵字: 活動中心
599,高雄市仁武區.烏林國民小學,True,預設室內
600,元新溫泉飯店,True,包含強制室內關鍵字: 飯店
601,屏東市海豐國小,True,包含強制室內關鍵字: 國小
602,高雄市仁武區仁武國民小學,True,預設室內
603,仁武區綜合活動中心,True,包含強制室內關鍵字: 活動中心
604,隘寮國小,True,包含強制室內關鍵字: 國小
606,繁華國小,True,包含強制室內關鍵字: 國小
607,瑪家國中,True,包含強制室內關鍵字: 國中
608,亞莊酒店,True,預設室內
609,中村基督長老教會,True,預設室內
610,玉泉社區活動中心,True,包含強制室內關鍵字: 活動中心
611,仁武里活動中心,True,包含強制室內關鍵字: 活動中心
612,知本社區活動中心,True,包含強制室內關鍵字: 活動中心
613,北葉國小體育館,True,包含強制室內關鍵字: 國小
614,F Hotel,True,預設室內
615,高雄市楠梓區廣、大、久、盛昌里活動中心,True,包含強制室內關鍵字: 活動中心
616,建業社區活動中心,True,包含強制室內關鍵字: 活動中心
617,中華里活動中心,True,包含強制室內關鍵字: 活動中心
618,高雄市楠梓區油廠國民小學,True,預設室內
619,北葉社區活動中心,True,包含強制室內關鍵字: 活動中心
620,高雄市仁武區竹後國民小學,True,預設室內
621,高雄市左營區莒光國民小學,True,預設室內
622,高雄市楠梓區莒光國民小學,True,預設室內
623,高雄市立右昌國民中學,True,預設室內
624,高雄市楠梓區右昌國民小學,True,預設室內
625,三地門鄉立體育館,True,包含強制室內關鍵字: 體育館
626,地磨兒國小,True,包含強制室內關鍵字: 國小
627,國軍退役官兵輔導委員會高雄榮譽國民之家,True,預設室內
628,高雄市楠梓區宏昌等六里聯合活動中心,True,包含強制室內關鍵字: 活動中心
629,臺東縣臺東市建和國小,True,包含強制室內關鍵字: 國小
630,高雄市立國昌國民中學,True,預設室內
631,高雄市楠梓區加昌國民小學,True,預設室內
632,建農里民眾活動中心,True,包含強制室內關鍵字: 活動中心
633,高雄市楠梓區後勁國民小學,True,預設室內
634,中里社區活動中心,True,包含強制室內關鍵字: 活動中心
635,高雄市立後勁國民中學,True,預設室內
636,九如鄉九如國民小學,True,預設室內
637,高雄市楠梓區仁昌里活動中心,True,包含強制室內關鍵字: 活動中心
638,高雄市楠梓區楠陽國民小學,True,預設室內
639,高雄市楠梓區翠屏里活動中心,True,包含強制室內關鍵字: 活動中心
640,高雄市楠梓區惠豐里活動中心,True,包含強制室內關鍵字: 活動中心
641,高雄市楠梓區援中國民小學,True,預設室內
642,高雄市楠梓區行政中心7樓大禮堂,True,包含強制室內關鍵字: 禮堂
643,高雄市立蚵寮國民中學（備用）,True,預設室內
644,高雄市立大社國民中學,True,預設室內
645,大社老人文康中心,True,預設室內
646,高雄市立翠屏國民中小學,True,預設室內
647,高雄市立中山高級中學,True,預設室內
648,智信蚵社區聯合活動中心（備用）,True,包含強制室內關鍵字: 活動中心
649,大社中山堂,True,預設室內
650,高雄市楠梓區惠民里集會所,True,包含強制室內關鍵字: 集會所
651,豐里社區活動中心,True,包含強制室內關鍵字: 活動中心
652,高雄市楠梓區楠梓國民小學,True,預設室內
653,高雄市梓官區蚵寮國民小學（備用）,True,預設室內
654,高雄市立楠梓國民中學,True,預設室內
655,保安里活動中心,True,包含強制室內關鍵字: 活動中心
656,九如鄉圖書館,True,包含強制室內關鍵字: 圖書館
657,赤崁老人活動中心（備用）,True,包含強制室內關鍵字: 活動中心
658,國立臺東大學,True,包含強制室內關鍵字: 大學
659,高雄市橋頭區甲圍國民小學,True,預設室內
660,新圍國小,True,包含強制室內關鍵字: 國小
661,彭厝國小,True,包含強制室內關鍵字: 國小
662,九如鄉公所禮堂,True,包含強制室內關鍵字: 禮堂
663,高雄市大樹區興田國民小學,True,預設室內
664,賽嘉國小,True,包含強制室內關鍵字: 國小
665,賽嘉村辦公處含活動中心,True,包含強制室內關鍵字: 活動中心
666,高雄市立楠梓高級中學,True,預設室內
667,霧台長老教會,True,預設室內
668,霧台社區活動中心,True,包含強制室內關鍵字: 活動中心
669,霧臺國小,True,包含強制室內關鍵字: 國小
670,霧台國小運動場,False,包含室外關鍵字: 運動場
671,佛光山寺備用,True,預設室內
672,霧台鄉避難收容所,True,預設室內
673,神山社區活動中心運動場,False,包含室外關鍵字: 運動場
674,高雄市橋頭區仕隆國民小學,True,預設室內
675,高雄市橋頭區興糖國民小學,True,預設室內
676,高雄市燕巢區鳳雄國民小學（備用）,True,預設室內
677,鹽埔國中,True,包含強制室內關鍵字: 國中
678,臺東市公所,True,包含強制室內關鍵字: 公所
679,鳳雄營區,True,預設室內
680,梓平社區活動中心（備用）,True,包含強制室內關鍵字: 活動中心
681,鄉立幼兒園,True,預設室內
682,橋頭區公所,True,包含強制室內關鍵字: 公所
683,高雄市立橋頭國民中學,True,預設室內
684,梓和社區活動中心（備用）,True,包含強制室內關鍵字: 活動中心
685,高雄市橋頭區五林國民小學,True,預設室內
686,梓官國小（備用）,True,包含強制室內關鍵字: 國小
687,高雄市立彌陀國民中學（備用）,True,預設室內
688,梓官區公所,True,包含強制室內關鍵字: 公所
689,中華社區活動中心,True,包含強制室內關鍵字: 活動中心
690,高雄市橋頭區橋頭國民小學,True,預設室內
691,高雄市立梓官國民中學,True,預設室內
692,新園社區活動中心,True,包含強制室內關鍵字: 活動中心
694,四維寶桑多功能活動中心,True,包含強制室內關鍵字: 活動中心
695,東興村活動中心,True,包含強制室內關鍵字: 活動中心
696,臺東縣臺東市新園國小,True,包含強制室內關鍵字: 國小
